2.299601950583506582e+00,3.292953522662693366e+00,3.219245045263672722e+00,4.553877290324014560e+00
1.862377113054494604e+00,2.895635751363063726e+00,5.485563021881054269e+00,2.746366319474609963e+00
4.957213544279583495e+00,3.763306614489589474e+00,1.920614666167336892e+00,1.188296693473043231e+00
3.726381268439713068e+00,2.464156056619786650e+00,1.217403078491598567e+00,4.087103915611885796e+00
2.776244634988457083e+00,3.794274065731343182e+00,3.642499432470291953e+00,4.975880737379953622e+00
2.204434426990106832e+00,3.486551460039379435e+00,7.029216464753073268e+00,3.919261203505030267e+00
6.588931020346855405e+00,3.897071464986942235e+00,1.552267350292979797e+00,1.250388249733698220e+00
3.335687317554639097e+00,3.506227823693766066e+00,2.816329800712422671e-01,4.474865612512457957e+00
2.466670971390562794e+00,3.737842705024639667e+00,3.658078806438497033e+00,5.150381783960803261e+00
2.316384801503363899e+00,3.602044501120011066e+00,6.901612982593438694e+00,3.599385749945739121e+00
6.227865197316342361e+00,4.854856462953993201e+00,2.722081144561838695e+00,5.715485450632605824e-01
4.492178980046834802e+00,3.483144674758220649e+00,1.088372885932798795e+00,4.533175251863047706e+00
